Date,Weight (lb)
2022-07-27,156.0
2022-07-31,162.1
2022-08-01,164.5
2022-08-02,161.2
2022-08-03,160.0
2022-08-04,158.2
2022-08-08,160.8
2022-08-09,159.7
2022-08-10,160.0
2022-08-11,159.7
2022-08-12,161.1
2022-08-22,160.7
2022-08-23,159.2
2022-08-24,159.6
2022-08-25,159.4
2022-09-06,160.3
2022-09-07,160.7
2022-09-08,159.1
2022-09-09,160.4
2022-09-10,158.8
2022-09-11,159.0
2022-09-12,160.5
2022-09-13,161.3
2022-09-14,160.5
2022-09-15,158.4
2022-09-16,159.7
2022-09-17,160.3
2022-09-18,159.7
2022-09-19,161.5
2022-09-20,158.5
2022-09-21,160.9
2022-09-22,161.4
2022-09-23,160.8
2022-09-24,162.4
2022-09-26,161.3
2022-09-27,160.5
2022-09-28,160.2
2022-09-29,160.6
2022-09-30,160.5
