Date,Weight (lb)
2020-04-01,156.9
2020-04-02,158.2
2020-04-05,159.8
2020-04-07,155.2
2020-04-08,155.9
2020-04-09,154.1
2020-04-13,156.8
2020-04-16,155.1
2020-04-21,158.4
2020-04-23,154.5
2020-04-26,156.7
2020-04-27,155.3
2020-05-18,155.6
2020-05-19,154.5
2020-05-21,155.0
2020-05-22,155.6
2020-05-26,155.0
2020-05-28,155.5
2020-05-29,156.1
2020-05-30,154.9
2020-06-03,152.3
2020-06-05,152.8
2020-06-08,153.8
2020-06-10,149.8
2020-06-13,150.7
2020-06-17,153.9
2020-06-20,151.4
2020-06-22,152.2
2020-06-29,152.0
2020-06-30,152.1
