Date,Weight (lb)
2019-04-01,158.7
2019-04-02,157.7
2019-04-03,155.3
2019-04-04,152.9
2019-04-05,153.4
2019-04-06,156.7
2019-04-08,156.9
2019-04-09,157.0
2019-04-11,155.1
2019-04-12,154.1
2019-04-13,154.1
2019-04-14,155.2
2019-04-15,153.6
2019-04-16,152.5
2019-04-17,153.3
2019-04-18,153.5
2019-04-19,152.5
2019-04-20,154.5
2019-04-22,161.6
2019-04-23,157.6
2019-04-24,155.4
2019-04-25,155.3
2019-04-27,151.7
2019-04-29,157.9
2019-04-30,154.8
2019-05-01,154.5
2019-05-02,154.3
2019-05-03,154.0
2019-05-04,153.6
2019-05-05,155.3
2019-05-06,154.1
2019-05-07,152.0
2019-05-08,154.1
2019-05-09,155.2
2019-05-10,157.3
2019-05-11,152.6
2019-05-12,155.4
2019-05-14,158.1
2019-05-15,158.0
2019-05-16,158.3
2019-05-17,159.2
2019-05-18,157.7
2019-05-19,157.1
2019-05-20,156.8
2019-05-21,154.1
2019-06-18,152.5
2019-06-19,152.0
2019-06-20,152.0
2019-06-24,152.8
2019-06-25,153.9
2019-06-26,151.2
2019-06-27,150.4
2019-06-28,153.4
2019-06-29,152.6
2019-06-30,153.7
