Date,Weight (lb)
2022-10-01,160.0
2022-10-03,160.6
2022-10-04,160.0
2022-10-05,159.6
2022-10-06,159.2
2022-10-07,160.6
2022-10-09,160.0
2022-10-10,162.2
2022-10-11,162.2
2022-10-12,159.7
2022-10-13,160.7
2022-10-14,161.2
2022-10-15,161.2
2022-10-16,161.4
2022-10-17,161.0
2022-10-18,160.0
2022-10-19,159.2
2022-10-20,160.9
2022-10-21,162.3
2022-10-22,159.3
2022-10-24,158.5
2022-10-25,160.3
2022-10-26,160.3
2022-10-27,160.1
2022-10-28,162.7
2022-10-29,160.8
2022-10-30,162.1
2022-10-31,160.0
2022-11-01,160.1
