Date,Weight (lb)
2021-10-21,157.5
2021-10-22,157.8
2021-10-25,161.2
2021-10-31,155.9
2021-11-02,159.0
2021-11-10,157.9
2021-11-11,159.4
2021-11-13,157.3
2021-11-15,157.4
2021-11-16,156.2
2021-11-17,159.0
2021-11-18,157.1
2021-11-19,154.6
2021-11-20,155.3
2021-11-22,156.8
2021-12-01,157.9
2021-12-02,157.5
2021-12-03,158.4
2021-12-13,153.9
2021-12-14,154.5
2021-12-15,156.9
2021-12-16,157.0
2021-12-17,152.3
2021-12-18,157.4
2021-12-23,155.4
2021-12-27,154.7
2021-12-29,153.4
2021-12-30,156.4
2021-12-31,154.1
