Date,Weight (lb)
2020-01-04,157.4
2020-01-05,157.8
2020-01-06,159.1
2020-01-13,159.8
2020-01-14,156.8
2020-01-16,159.0
2020-01-17,157.0
2020-01-18,157.5
2020-01-19,157.7
2020-01-23,159.0
2020-01-24,156.9
2020-01-25,158.9
2020-01-26,159.7
2020-01-27,157.7
2020-01-28,155.2
2020-01-29,156.8
2020-01-30,155.3
2020-02-01,157.4
2020-02-04,161.9
2020-02-05,160.9
2020-02-11,157.3
2020-02-13,156.7
2020-02-14,155.7
2020-02-17,157.3
2020-02-18,154.7
2020-02-19,152.5
2020-02-21,153.7
2020-02-22,155.3
2020-02-24,154.2
2020-03-03,151.6
2020-03-05,153.1
2020-03-08,154.9
2020-03-09,155.6
2020-03-27,157.7
2020-03-30,159.4
