Date,Weight (lb)
2020-07-01,150.8
2020-07-02,149.0
2020-07-06,153.1
2020-07-07,152.3
2020-07-08,150.6
2020-07-09,149.8
2020-07-13,154.3
2020-07-15,150.4
2020-07-17,149.3
2020-07-18,149.3
2020-07-24,149.6
2020-07-25,150.9
2020-07-27,150.9
2020-07-28,152.0
2020-07-29,154.9
2020-08-03,158.4
2020-08-05,153.7
2020-08-06,154.3
2020-08-07,153.2
2020-08-10,150.4
2020-08-12,151.2
2020-08-14,150.9
2020-08-17,150.9
2020-08-18,148.7
2020-08-19,150.1
2020-08-20,150.3
2020-08-26,157.5
2020-08-27,156.1
2020-08-28,154.2
2020-09-04,152.1
2020-09-09,152.8
2020-09-10,151.3
2020-09-11,151.7
2020-09-18,150.2
2020-09-22,154.7
