Date,Weight (lb)
2021-07-08,154.4
2021-07-11,155.3
2021-07-12,156.5
2021-07-13,154.9
2021-07-14,154.5
2021-07-15,156.4
2021-07-20,156.3
2021-07-26,156.0
2021-07-27,155.2
2021-07-28,155.5
2021-08-04,156.4
2021-08-05,156.2
2021-08-06,155.8
2021-08-07,155.3
2021-08-08,153.0
2021-08-09,156.2
2021-08-10,156.7
2021-08-17,154.7
2021-08-18,155.6
2021-08-20,155.1
2021-08-23,159.1
2021-08-25,158.6
2021-08-26,159.9
2021-08-27,159.1
2021-08-29,155.9
2021-09-01,157.9
2021-09-07,156.1
2021-09-13,159.4
2021-09-14,155.5
2021-09-15,156.2
2021-09-16,156.6
2021-09-22,155.9
2021-09-24,156.7
2021-09-25,156.8
2021-09-26,158.3
2021-09-27,159.3
